;Club;Country;Coef
1;Paris Saint-Germain;FRA;1,880
2;Arsenal FC;ENG;1,827
3;Real Madrid CF;ESP;1,825
4;Bayern München;GER;1,750
5;Internazionale Milano;ITA;1,698
6;FC Barcelona;ESP;1,614
7;Manchester City;ENG;1,608
8;Borussia Dortmund;GER;1,538
9;Liverpool FC;ENG;1,525
10;Atlético de Madrid;ESP;1,504
11;Chelsea FC;ENG;1,438
12;Aston Villa;ENG;1,416
13;Flamengo;BRA;1,386
14;Al-Hilal Saudi FC;KSA;1,354
15;Palmeiras;BRA;1,334
16;AS Roma;ITA;1,318
17;Manchester United;ENG;1,306
18;Benfica;POR;1,276
19;Bayer 04 Leverkusen;GER;1,257
20;FC Porto;POR;1,239
21;AC Milan;ITA;1,233
22;Atalanta BC;ITA;1,222
23;Juventus;ITA;1,217
24;Cruz Azul;MEX;1,213
25;PSV Eindhoven;NED;1,201
26;Tottenham Hotspur FC;ENG;1,171
27;Al-Ahli Saudi FC;KSA;1,170
28;Sporting CP;POR;1,167
29;Al-Nassr Saudi FC;KSA;1,136
30;Inter Miami CF;USA;1,126
31;RB Leipzig;GER;1,120
32;Lazio;ITA;1,112
33;Vancouver Whitecaps;CAN;1,105
34;Club Brugge;BEL;1,101
35;Seattle Sounders FC;USA;1,093
36;São Paulo FC;BRA;1,088
37;Al-Ahly SC;EGY;1,080
38;LOSC Lille;FRA;1,076
39;SSC Napoli;ITA;1,071
40;LDU Quito;ECU;1,064
41;Feyenoord;NED;1,060
42;Sporting de Braga;POR;1,050
43;Racing;ARG;1,039
44;Olympique de Marseille;FRA;1,034
45;UANL Tigres;MEX;1,024
46;Olympique Lyonnais;FRA;1,019
47;Ajax;NED;1,018
48;Real Betis Balompié;ESP;1,018
49;Fluminense;BRA;1,014
50;Newcastle United FC;ENG;1,013
51;Villarreal CF;ESP;1,013
52;Real Sociedad de Fútbol;ESP;1,010
53;Athletic Club;ESP;1,009
54;Mamelodi Sundowns;RSA;1,003
55;Galatasaray AŞ;TUR;1,002
56;Bologna FC 1909;ITA;0,999
57;Los Angeles FC;USA;0,996
58;VfB Stuttgart;GER;0,986
59;Eintracht Frankfurt;GER;0,985
60;Sevilla FC;ESP;0,975
61;Columbus Crew SC;USA;0,972
62;AS Monaco;MON;0,963
63;Atlético Mineiro;BRA;0,957
64;Botafogo;BRA;0,954
65;Espanyol;ESP;0,947
66;CF Monterrey;MEX;0,943
67;Olympiacos Piraeus;GRE;0,942
68;Fenerbahçe SK;TUR;0,940
69;Kawasaki Frontale;JPN;0,939
70;Estudiantes;ARG;0,939
71;Everton FC;ENG;0,939
72;Espérance ST;TUN;0,938
73;Union St. Gilloise;BEL;0,937
74;AZ Alkmaar;NED;0,936
75;RC Lens;FRA;0,933
76;Brentford FC;ENG;0,932
77;Celta de Vigo;ESP;0,928
78;FC Cincinnati;USA;0,928
79;Pyramids FC;EGY;0,922
80;Como 1907;ITA;0,919
81;Crystal Palace;ENG;0,915
82;Sunderland AFC;ENG;0,913
83;TSG 1899 Hoffenheim;GER;0,908
84;Fulham;ENG;0,902
85;River Plate;ARG;0,895
86;US Sassuolo Calcio;ITA;0,891
87;Getafe CF;ESP;0,889
88;Los Angeles Galaxy;USA;0,887
89;Brighton Hove;ENG;0,883
90;Osasuna;ESP;0,881
91;América;MEX;0,880
92;Nottingham Forest;ENG;0,879
93;Stade Rennais;FRA;0,879
94;Boca Juniors;ARG;0,877
95;Elche CF;ESP;0,876
96;Viktoria Plzeň;CZE;0,875
97;Union Berlin;GER;0,874
98;AFC Bournemouth;ENG;0,871
99;Udinese Calcio;ITA;0,871
100;RCD Mallorca;ESP;0,871
101;Racing Strasbourg;FRA;0,865
102;SC Freiburg;GER;0,865
103;Philadelphia Union;USA;0,863
104;Pumas UNAM;MEX;0,862
105;Celtic FC;SCO;0,860
106;Slavia Praha;CZE;0,860
107;Stade Brest;FRA;0,860
108;Alavés;ESP;0,860
109;NEC;NED;0,860
110;Leeds Utd;ENG;0,859
111;FC Famalicão;POR;0,857
112;Toulouse FC;FRA;0,856
113;Torino FC;ITA;0,853
114;Werder Bremen;GER;0,852
115;Rayo Vallecano;ESP;0,851
116;Vitória SC;POR;0,846
117;Dinamo Zagreb;CRO;0,845
118;West Ham United FC;ENG;0,843
119;Internacional Porto Alegre;BRA;0,843
120;Cagliari Calcio;ITA;0,843
121;Shakhtar Donetsk;UKR;0,841
122;Anderlecht;BEL;0,839
123;Moreirense;POR;0,836
124;Fiorentina;ITA;0,835
125;FC København;DEN;0,836
126;Parma Calcio 1913;ITA;0,833
127;Angers SCO;FRA;0,833
128;Borussia Mönchengladbach;GER;0,832
129;Valencia CF;ESP;0,832
130;PAOK FC;GRE;0,831
131;Burnley FC;ENG;0,831
132;Cremonese;ITA;0,831
133;Midtjylland;DEN;0,826
134;Colorado Rapids;USA;0,825
135;KAA Gent;BEL;0,824
136;Wolverhampton Wanderers;ENG;0,824
137;Girona FC;ESP;0,823
138;US Lecce;ITA;0,823
139;Trabzonspor;TUR;0,816
140;Gil Vicente;POR;0,815
141;Crvena Zvezda;SRB;0,813
142;Minnesota United;USA;0,813
143;Genoa CFC;ITA;0,812
144;VfL Wolfsburg;GER;0,811
145;FC Köln;GER;0,810
146;Vélez Sársfield;ARG;0,809
147;Hellas Verona;ITA;0,804
148;Al-Sadd;QAT;0,801
149;San Diego FC;USA;0,800
150;OGC Nice;FRA;0,800
151;Coventry City FC;ENG;0,800
152;Nashville SC;USA;0,799
153;FC Augsburg;GER;0,798
154;Rangers FC;SCO;0,797
155;Corinthians;BRA;0,796
156;Middlesbrough FC;ENG;0,792
157;Peñarol;URU;0,789
158;Independiente del Valle;ECU;0,789
159;Hamburger SV;GER;0,788
160;FC St. Pauli;GER;0,786
161;Cerro Porteño;PAR;0,783
162;FC Lorient;FRA;0,783
163;Real Oviedo;ESP;0,782
164;Alajuelense;CRC;0,781
165;Ferencvárosi TC;HUN;0,780
166;Le Havre AC;FRA;0,779
167;Bodø/Glimt;NOR;0,777
168;Jeonbuk Hyundai Motors;KOR;0,777
169;Go Ahead Eagles;NED;0,777
170;Heidenheim 1846;GER;0,775
171;Guadalajara;MEX;0,773
172;RB Salzburg;AUT;0,772
173;Levante UD;ESP;0,772
174;KRC Genk;BEL;0,771
175;CF Pachuca;MEX;0,771
176;Mainz 05;GER;0,771
177;FC Utrecht;NED;0,771
178;New York City FC;USA;0,771
179;Santa Clara;POR;0,771
180;Cruzeiro;BRA;0,770
181;Al-Ittihad;KSA;0,768
182;AEK Athens FC;GRE;0,767
183;AJ Auxerre;FRA;0,767
184;Pisa SC;ITA;0,763
185;Watford FC;ENG;0,761
186;Qarabağ FK;AZE;0,757
187;FC Nantes;FRA;0,757
188;Sparta Praha;CZE;0,756
189;Deportivo Toluca;MEX;0,754
190;Buriram United;THA;0,747
191;Bristol City;ENG;0,744
192;Orlando Pirates;RSA;0,743
193;Millwall;ENG;0,740
194;RS Berkane;MAR;0,738
195;Johor Darul Ta'zim;MAS;0,736
196;Atlético Paranaense;BRA;0,736
197;Paris FC;FRA;0,732
198;Mirassol FC;BRA;0,732
199;Al-Taawoun;KSA;0,731
200;Libertad;PAR;0,729
201;FC Groningen;NED;0,727
202;Sint-Truidense VV;BEL;0,727
203;Ipswich Town;ENG;0,727
204;Persepolis;IRN;0,715
205;Lanús;ARG;0,715
206;Panathinaikos FC;GRE;0,714
207;Pafos;CYP;0,706
208;Al-Ain;UAE;0,705
209;KV Mechelen;BEL;0,705
210;Pakhtakor;UZB;0,694
211;Saprissa;CRC;0,692
212;Ludogorets 1945;BUL;0,688
213;Zamalek;EGY;0,688
214;Göztepe;TUR;0,688
215;Al-Gharafa;QAT;0,681
216;West Bromwich Albion;ENG;0,681
217;Esteghlal;IRN;0,679
218;Gwangju FC;KOR;0,678
219;Bolívar;BOL;0,678
220;Vissel Kobe;JPN;0,674
221;Sepahan;IRN;0,672
222;Yokohama F. Marinos;JPN;0,670
223;Sydney FC;AUS;0,664
224;Hull City AFC;ENG;0,664
225;Leicester City FC;ENG;0,663
226;Raja Casablanca;MAR;0,662
227;Pohang Steelers;KOR;0,655
228;Maccabi Tel-Aviv FC;ISR;0,653
229;Al-Wasl FC;UAE;0,653
230;Nasaf Qarshi;UZB;0,653
231;Al-Shabab Riyadh;KSA;0,653
232;Shabab Al-Ahli Dubai;UAE;0,650
233;Urawa Red Diamonds;JPN;0,649
234;Al-Rayyan;QAT;0,648
235;Al Wahda Abu Dhabi;UAE;0,646
236;Young Boys;SUI;0,645
237;Al-Duhail;QAT;0,643
238;Preston NE;ENG;0,643
239;AS FAR;MAR;0,641
240;Hapoel Beer-Sheva FC;ISR;0,640
241;Tractor;IRN;0,636
242;Ulsan HD;KOR;0,635
243;Beşiktaş JK;TUR;0,635
244;Olimpia Tegucigalpa;HON;0,635
245;Nacional Montevideo;URU;0,635
246;Bangkok Glass;THA;0,635
247;Club León;MEX;0,635
248;Samsunspor;TUR;0,635
249;Royal Antwerp FC;BEL;0,635
250;Estoril Praia;POR;0,635
251;Charlotte FC;USA;0,634
252;Grêmio;BRA;0,633
253;Bahia;BRA;0,632
254;Twente;NED;0,631
255;Wydad Casablanca;MAR;0,630
256;CR Bélouizdad;ALG;0,629
257;Club Tijuana;MEX;0,628
258;İstanbul Başakşehir;TUR;0,627
259;TP Mazembe;COD;0,626
260;Puebla;MEX;0,625
261;Rosario Central;ARG;0,624
262;Sharjah FC;UAE;0,623
263;MC Alger;ALG;0,622
264;Estrela;POR;0,621
265;Standard Liège;BEL;0,620
266;Petro Luanda;ANG;0,619
267;Simba;TAN;0,618
268;sc Heerenveen;NED;0,617
269;Rio Ave FC;POR;0,616
270;Machida Zelvia;JPN;0,615
271;Sparta Rotterdam;NED;0,614
272;FC Alverca;POR;0,613
273;Young Africans;TAN;0,612
274;Jagiellonia Białystok;POL;0,611
275;Nacional da Madeira;POR;0,610
276;Fortaleza;BRA;0,609
277;Sanfrecce Hiroshima;JPN;0,608
278;Shandong Taishan;CHN;0,607
279;Dynamo Kyiv;UKR;0,606
280;Basel 1893;SUI;0,605
281;Casa Pia;POR;0,604
282;USM Alger;ALG;0,603
283;Brann;NOR;0,602
284;Metz;FRA;0,601
285;Shanghai Shenhua;CHN;0,600
286;Al Qadsiah;KSA;0,599
287;Sturm Graz;AUT;0,598
288;QPR;ENG;0,597
289;Malmö FF;SWE;0,596
290;Heart of Midlothian FC;SCO;0,595
291;Stoke City;ENG;0,594
292;Kuwait SC;KUW;0,593
293;Levadiakos;GRE;0,592
294;Wrexham AFC;WAL;0,591
295;FC Seoul;KOR;0,590
296;Volos FC;GRE;0,589
297;FCSB;ROU;0,588
298;Atlas;MEX;0,587
299;Southampton FC;ENG;0,586
300;Derby County;ENG;0,585
301;Universitatea Craiova;ROU;0,584
302;Al-Hussein Irbid;JOR;0,583
303;Universidad Católica del Ecuador;ECU;0,582
304;Melbourne City;AUS;0,581
305;Birmingham City;ENG;0,580
306;Unión;ARG;0,579
307;Al-Wehdat;JOR;0,578
308;Aris Saloniki;GRE;0,577
309;FK Jablonec;CZE;0,576
310;Hibernian FC;SCO;0,575
311;Motherwell FC;SCO;0,574
312;AGF Aarhus;DEN;0,573
313;Dundee United FC;SCO;0,572
314;Karviná;CZE;0,571
315;Deportivo Riestra;ARG;0,570
316;Sigma Olomouc;CZE;0,569
317;Al Hilal Omdurman;SDN;0,568
318;Omonia;CYP;0,567
319;Viking;NOR;0,566
320;Brøndby IF;DEN;0,565
321;Slovan Liberec;CZE;0,564
322;Navbahor Namangan;UZB;0,563
323;Aberdeen FC;SCO;0,562
324;Partizan;SRB;0,561
325;Al-Shamal SC;QAT;0,560
326;Beitar Jerusalem FC;ISR;0,559
327;Kashima Antlers;JPN;0,558
328;FC Thun;SUI;0,557
329;Ceramica Cleopatra;EGY;0,556
330;Mjällby AIF;SWE;0,555
331;Frosinone;ITA;0,554
332;Wisła Płock;POL;0,553
333;Schalke 04;GER;0,552
334;ESTAC;FRA;0,551
335;Racing de Santander;ESP;0,550
336;Neftchi Farg'ona;UZB;0,549
337;Győri ETO FC;HUN;0,548
338;Hammarby IF;SWE;0,547
339;UD Las Palmas;ESP;0,546
340;Kashiwa Reysol;JPN;0,545
341;LASK Linz;AUT;0,544
342;FC St Gallen;SUI;0,543
343;Górnik Zabrze;POL;0,542
344;SV Elversberg;GER;0,541
345;Red Star;FRA;0,540
346;LNZ Cherkasy;UKR;0,539
347;SønderjyskE;DEN;0,538
348;Legia Warszawa;POL;0,537
349;Daejeon Citizen;KOR;0,536
350;Hajduk Split;CRO;0,535
351;Deportivo La Coruña;ESP;0,534
352;Kyoto Sanga;JPN;0,533
353;Port FC;THA;0,532
354;Polissya Zhytomyr;UKR;0,531
355;Al-Faisaly Amman;JOR;0,530
356;Al-Jazira;UAE;0,529
357;HNK Rijeka;CRO;0,528
358;FK Krasnodar;RUS;0,527
359;Selangor;MAS;0,526
360;Istra 1961;CRO;0,525
361;Stade de Reims;FRA;0,524
362;TSV Hartberg;AUT;0,523
363;Slaven Koprivnica;CRO;0,522
364;Montpellier Hérault SC;FRA;0,521
365;Istiklol;TJK;0,520
366;Empoli FC;ITA;0,519
367;Al-Wakrah;QAT;0,518
368;Lion City Sailors;SIN;0,517
369;Independiente Rivadavia;ARG;0,516
370;Orlando City SC;USA;0,5151
371;New York Red Bulls;USA;0,5142
372;Portland Timbers;USA;0,5133
373;Real Salt Lake;USA;0,5124
374;New England Revolution;USA;0,5115
375;Red Bull Bragantino;BRA;0,5106
376;Central Córdoba;ARG;0,5097
377;Toronto FC;CAN;0,5088
378;Atlético Nacional;COL;0,5079
379;Santos FC;BRA;0,5070
380;Houston Dynamo;USA;0,5061
381;Motagua;HON;0,5052
382;Barcelona Guayaquil;ECU;0,5043
383;Sporting Kansas City;USA;0,5034
384;FC Juárez;MEX;0,5025
385;Vasco da Gama;BRA;0,5016
386;Auckland City;NZL;0,5007
387;Talleres;ARG;0,4998
388;Cartaginés;CRC;0,4989
389;Atlanta United FC;USA;0,4980
390;CF Montréal;CAN;0,4971
391;San Lorenzo;ARG;0,4962
392;Junior;COL;0,4953
393;Fortuna Sittard;NED;0,4944
394;Chicago Fire;USA;0,4935
395;Al-Fayha;KSA;0,4926
396;Austin FC;USA;0,4917
397;Argentinos Juniors;ARG;0,4908
398;Westerlo;BEL;0,4899
399;Atlético San Luis;MEX;0,4890
400;Excelsior Rotterdam;NED;0,4881
401;Kocaelispor;TUR;0,4872
402;Vitória;BRA;0,4863
403;Royal Charleroi SC;BEL;0,4854
404;FC Dallas;USA;0,4845
405;Xelaju MC;GUA;0,4836
406;Gaziantep FK;TUR;0,4827
407;PEC Zwolle;NED;0,4818
408;Antigua Guatemala;GUA;0,4809
409;FC Arouca;POR;0,4800
410;Mazatlán FC;MEX;0,4791
411;Telstar;NED;0,4782
412;Independiente Medellín;COL;0,4773
413;Zulte Waregem;BEL;0,4764
414;Alanyaspor;TUR;0,4755
415;Tondela;POR;0,4746
416;Marathón;HON;0,4737
417;Santos Laguna;MEX;0,4728
418;San Jose Earthquakes;USA;0,4719
419;Atlético Bucaramanga;COL;0,4710
420;Al-Ettifaq;KSA;0,4701
421;FC Volendam;NED;0,4692
422;Herediano;CRC;0,4683
423;Gençlerbirliği;TUR;0,4674
424;AVS;POR;0,4665
425;Necaxa;MEX;0,4656
426;Cercle Brugge;BEL;0,4647
427;RAAL La Louvière;BEL;0,4638
428;Defensa y Justicia;ARG;0,4629
429;Neom;KSA;0,4620
430;Heracles Almelo;NED;0,4611
431;Çaykur Rizespor;TUR;0,4602
432;Once Caldas;COL;0,4593
433;Oud-Heverlee Leuven;BEL;0,4584
434;St. Louis City SC;USA;0,4575
435;NAC Breda;NED;0,4566
436;Shanghai Port;CHN;0,4557
437;Konyaspor;TUR;0,4548
438;Bangkok United;THA;0,4539
439;América de Cali;COL;0,4530
440;Olimpia;PAR;0,4521
441;Al-Khaleej;KSA;0,4512
442;DC United;USA;0,4503
443;Kasımpaşa;TUR;0,4494
444;Maccabi Haifa FC;ISR;0,4485
445;Raków Częstochowa;POL;0,4476
446;Gangwon FC;KOR;0,4467
447;AEK Larnaca FC;CYP;0,4458
448;Real España;HON;0,4449
449;Djurgårdens IF;SWE;0,4440
450;Dender;BEL;0,4431
451;Al-Hazem;KSA;0,4422
452;Al-Masry SC;EGY;0,4413
453;Antalyaspor;TUR;0,4404
454;CS Sfaxien;TUN;0,4395
455;Gallos Blancos de Querétaro;MEX;0,4386
456;Huracán;ARG;0,4377
457;Kayserispor;TUR;0,4368
458;Chengdu Rongcheng;CHN;0,4359
459;Elfsborg;SWE;0,4350
460;Sheffield United;ENG;0,4341
461;NK Celje;SVN;0,4332
462;Al-Fateh Al-Ahsa;KSA;0,4323
463;Comunicaciones;GUA;0,4314
464;Real Estelí;NCA;0,4305
465;Kifisia FC;GRE;0,4296
466;Coritiba;BRA;0,4287
467;Swansea City AFC;WAL;0,4278
468;Molde FK;NOR;0,4269
469;Al-Kholood Club;KSA;0,4260
470;Belgrano;ARG;0,4251
471;Blackburn Rovers;ENG;0,4242
472;Ratchaburi;THA;0,4233
473;Panetolikos;GRE;0,4224
474;Damac FC;KSA;0,4215
475;Charlton Athletic;ENG;0,4206
476;Rapid Wien;AUT;0,4197
477;Étoile du Sahel;TUN;0,4188
478;Kaizer Chiefs Johannesburg;RSA;0,4179
479;Chapecoense;BRA;0,4170
480;Gamba Osaka;JPN;0,4161
481;Portsmouth FC;ENG;0,4152
482;Colo-Colo;CHI;0,4143
483;Guaraní;PAR;0,4134
484;FC Lugano;SUI;0,4125
485;Asteras Tripolis FC;GRE;0,4116
486;Hradec Králové;CZE;0,4107
487;Mushuc Runa;ECU;0,4098
488;Remo;BRA;0,4089
489;Lech Poznań;POL;0,4080
490;Oxford United FC;ENG;0,4071
491;Alianza Lima;PER;0,4062
492;Municipal;GUA;0,4053
493;Norwich City;ENG;0,4044
494;AC Monza;ITA;0,4035
495;Saint-Éloi Lupopo;COD;0,4026
496;Atromitos FC;GRE;0,4017
497;Barracas Central;ARG;0,4008
498;Stade Tunisien;TUN;0,3999
499;Venezia FC;ITA;0,3990
500;Sheffield Wednesday;ENG;0,3981
501;AS Saint-Étienne;FRA;0,3972
502;Darmstadt 98;GER;0,3963
503;Club Africain;TUN;0,3954
504;Emelec;ECU;0,3945
