Pos 2026;Equipo;País;Histórico ;Performance ;Puntos;Desempeño 2025;Desempeño 2025
1;Palmeiras; Brasil;1157.6;8671.0;9828.6;Finalista;
2;Flamengo; Brasil;694.0;8609.1;9303.1;Campeón;
3;River Plate; Argentina;2626.8;6136.0;8762.8;Cuartos de final;
4;Boca Juniors; Argentina;2785.2;4574.8;7360.0;;
5;Peñarol; Uruguay;2864.4;3165.0;6029.4;Octavos de final;
6;Atlético Mineiro; Brasil;447.2;5502.0;5949.2;;Finalista
7;São Paulo; Brasil;1764.8;3866.7;5631.5;Cuartos de final;
8;Nacional; Uruguay;2420.4;3100.6;5521.0;Fase de grupos;
9;Racing Club; Argentina;522.8;4789.9;5312.7;Semifinalista;
10;Liga de Quito; Ecuador;930.4;4237.6;5168.0;Semifinalista;
11;Fluminense; Brasil;431.2;4537.3;4968.5;;Cuartos de final
12;Athletico Paranaense; Brasil;289.2;4227.9;4517.1;;
13;Internacional; Brasil;1118.8;3289.3;4408.1;Octavos de final;
14;Grêmio; Brasil;1224.4;3096.2;4320.6;;Play-off de 1/8 final
15;Olimpia; Paraguay;2080.8;2211.6;4292.4;Fase de grupos;
16;Independiente del Valle; Ecuador;24.0;4104.4;4128.4;Fase de grupos;Semifinalista
17;Libertad; Paraguay;595.6;3412.2;4007.8;Octavos de final;
18;Estudiantes de La Plata; Argentina;1286.8;2618.6;3905.4;Cuartos de final;
19;Botafogo; Brasil;215.2;3501.4;3716.6;Octavos de final;
20;Cerro Porteño; Paraguay;1354.0;2354.7;3708.7;Octavos de final;
21;Lanús; Argentina;286.8;3372.1;3658.9;;Campeón
22;Corinthians; Brasil;688.0;2837.7;3525.7;;Fase de grupos
23;Bolívar; Bolivia;1031.6;2435.0;3466.6;Fase de grupos;Cuartos de final
24;Independiente; Argentina;1875.6;1528.8;3404.4;;Octavos de final
25;Colo-Colo; Chile;1272.0;2094.5;3366.5;Fase de grupos;
26;Vélez Sarsfield; Argentina;926.8;2334.5;3261.3;Cuartos de final;
27;Santos; Brasil;1176.4;2061.8;3238.2;;
28;Barcelona SC; Ecuador;1014.0;2162.6;3176.6;Fase de grupos;
29;Cruzeiro; Brasil;1252.8;1698.2;2951.0;;Fase de grupos
30;Atlético Nacional; Colombia;1039.2;1816.2;2855.4;Octavos de final;
31;Fortaleza EC; Brasil;0.0;2325.9;2325.9;Octavos de final;
32;Universitario; Perú;979.6;1267.4;2247.0;Octavos de final;
33;Defensa y Justicia; Argentina;0.0;2223.4;2223.4;;Fase de grupos
34;Junior; Colombia;358.0;1851.0;2209.0;;
35;Universidad Católica; Chile;1116.8;1070.5;2187.3;;
36;América de Cali; Colombia;1420.8;756.5;2177.3;;
37;San Lorenzo; Argentina;791.6;1377.0;2168.6;;
38;Sporting Cristal; Perú;764.0;1300.1;2064.1;Fase de grupos;
39;Universidad de Chile; Chile;803.6;1082.0;1885.6;Fase de grupos;Semifinalista
40;Alianza Lima; Perú;468.8;1411.0;1879.8;Fase de grupos;Cuartos de final
41;The Strongest; Bolivia;440.8;1424.5;1865.3;;
42;Emelec; Ecuador;648.4;1200.8;1849.2;;
43;Bragantino; Brasil;0.0;1646.9;1646.9;;
44;Club Guaraní; Paraguay;448.0;1076.8;1524.8;;Play-off de 1/8 final
45;Independiente Medellín; Colombia;226.0;1280.8;1506.8;;
46;Talleres de Córdoba; Argentina;16.0;1444.4;1460.4;Fase de grupos;
47;Argentinos Juniors; Argentina;318.8;1024.3;1343.1;;
48;Rosario Central; Argentina;422.4;917.3;1339.7;;
49;Melgar; Perú;40.0;1269.2;1309.2;;Fase de grupos
50;Deportivo Táchira; Venezuela;244.0;1054.0;1298.0;Fase de grupos;
51;Deportivo Cali; Colombia;824.0;469.4;1293.4;;
52;Palestino; Chile;130.0;1127.1;1257.1;;Play-off de 1/8 final
53;Independiente Santa Fe; Colombia;442.0;733.6;1175.6;;
54;Millonarios; Colombia;522.8;609.3;1132.1;;
55;Jorge Wilstermann; Bolivia;322.0;747.7;1069.7;;
56;Caracas FC; Venezuela;228.0;837.1;1065.1;;
57;Deportes Tolima; Colombia;202.8;854.9;1057.7;;
58;Once Caldas; Colombia;354.0;693.0;1047.0;;Cuartos de final
59;Newell's Old Boys; Argentina;521.2;453.3;974.5;;
60;Universidad Católica (Ecuador); Ecuador;40.0;913.8;953.8;;Octavos de final
61;Vasco da Gama; Brasil;457.6;427.5;885.1;;Play-off de 1/8 final
62;Huracán; Argentina;184.4;653.8;838.2;;Octavos de final
63;Bahia; Brasil;73.6;758.2;831.8;Fase de grupos;Play-off de 1/8 final
64;Always Ready; Bolivia;4.0;811.0;815.0;;
65;Colón Santa Fe; Argentina;28.0;721.3;749.3;;
66;Atlético Goianiense; Brasil;4.8;730.8;735.6;;
67;Godoy Cruz; Argentina;40.8;670.5;711.3;;Octavos de final
68;Deportivo Pereira; Colombia;0.0;657.5;657.5;;
69;Unión Española; Chile;440.4;212.0;652.4;;Fase de grupos
70;El Nacional; Ecuador;554.8;84.5;639.3;;
71;Huachipato; Chile;48.0;582.1;630.1;;
72;Cobreloa; Chile;626.0;0.0;626.0;;
73;Ceará; Brasil;0.0;607.2;607.2;;
74;Central Córdoba; Argentina;0.0;600.0;600.0;Fase de grupos;Octavos de final
75;América; México;509.2;72.5;581.7;;
76;Cienciano; Perú;204.4;349.5;553.9;;Octavos de final
77;Danubio; Uruguay;162.0;385.6;547.6;;
78;América Mineiro; Brasil;0.0;546.7;546.7;;
79;Delfín; Ecuador;0.0;539.6;539.6;;
80;Defensor Sporting; Uruguay;395.6;143.0;538.6;;
81;Unión La Calera; Chile;0.0;494.7;494.7;;
82;Coquimbo Unido; Chile;12.0;463.4;475.4;;
83;Mushuc Runa; Ecuador;0.0;463.5;463.5;;Octavos de final
84;Racing Club (Montevideo); Uruguay;24.0;436.5;460.5;;
85;Liverpool FC; Uruguay;0.0;456.0;456.0;;
86;Atlético Bucaramanga; Colombia;20.0;430.5;450.5;Fase de grupos;Play-off de 1/8 final
87;Oriente Petrolero; Bolivia;300.0;139.0;439.0;;
88;Arsenal de Sarandí; Argentina;231.6;204.6;436.2;;
89;Cuiabá; Brasil;0.0;434.7;434.7;;
90;Nacional (Asunción); Paraguay;188.0;242.8;430.8;;
91;Unión Santa Fe; Argentina;0.0;422.7;422.7;;Fase de grupos
92;Nacional Potosí; Bolivia;0.0;420.5;420.5;;Fase de grupos
93;Metropolitanos; Venezuela;0.0;410.2;410.2;;
94;Guadalajara; México;403.6;5.0;408.6;;
95;Montevideo Wanderers; Uruguay;152.0;251.6;403.6;;
96;Goiás; Brasil;121.6;276.3;397.9;;
97;Tigre; Argentina;96.8;300.4;397.2;;
98;Ñublense; Chile;0.0;387.5;387.5;;
99;Sportivo Ameliano; Paraguay;0.0;386.1;386.1;;
100;Audax Italiano; Chile;52.0;310.3;362.3;;
101;Aucas; Ecuador;0.0;360.1;360.1;;
102;Estudiantes de Mérida; Venezuela;108.0;236.9;344.9;;
103;Atlético Tucumán; Argentina;0.0;337.6;337.6;;
104;Cerro Largo; Uruguay;0.0;324.5;324.5;;Play-off de 1/8 final
105;Monagas; Venezuela;0.0;320.5;320.5;;
106;San Antonio Bulo Bulo; Bolivia;0.0;320.0;320.0;Fase de grupos;Play-off de 1/8 final
107;Belgrano; Argentina;0.0;314.7;314.7;;
108;Sportivo Luqueño; Paraguay;74.8;228.6;303.4;;Fase de grupos
109;Universidad César Vallejo; Perú;4.8;284.9;289.7;;
110;Blooming; Bolivia;170.0;117.7;287.7;;
111;Tigres; México;244.0;37.5;281.5;;
112;Patronato; Argentina;0.0;275.2;275.2;;
113;Everton de Viña del Mar; Chile;44.0;229.9;273.9;;
114;Deportivo La Guaira; Venezuela;0.0;272.3;272.3;;
115;Banfield; Argentina;123.2;147.9;271.1;;
116;Academia Puerto Cabello; Venezuela;0.0;262.5;262.5;;Fase de grupos
117;River Plate (Montevideo); Uruguay;34.8;223.7;258.5;;
118;Deportes Iquique; Chile;8.0;236.0;244.0;;Fase de grupos
119;La Equidad; Colombia;0.0;243.9;243.9;;
120;Cruz Azul; México;228.0;15.0;243.0;;
121;Portuguesa FC (Venezuela); Venezuela;218.0;22.5;240.5;;
122;Deportivo Lara; Venezuela;12.0;222.0;234.0;;
123;Boston River; Uruguay;0.0;232.5;232.5;;Fase de grupos
124;São Caetano; Brasil;228.0;0.0;228.0;;
125;Chapecoense; Brasil;9.6;205.2;214.8;;
126;Toluca; México;96.4;114.0;210.4;;
127;San José; Bolivia;88.8;112.5;201.3;;
128;Carabobo; Venezuela;0.0;198.5;198.5;Fase de grupos;
129;Pumas UNAM; México;101.6;96.0;197.6;;
130;Guaireña; Paraguay;0.0;195.9;195.9;;
131;Cobresal; Chile;28.0;165.0;193.0;;
132;Vitória; Brasil;4.8;181.5;186.3;;Fase de grupos
133;Deportivo Quito; Ecuador;180.8;0.0;180.8;;
134;Atlético Grau; Perú;0.0;178.5;178.5;;Fase de grupos
135;Montevideo City Torque; Uruguay;0.0;177.7;177.7;;
136;Deportivo Garcilaso; Perú;0.0;175.5;175.5;;
137;Deportivo Cuenca; Ecuador;124.0;51.0;175.0;;
138;Sol de América; Paraguay;132.0;41.4;173.4;;
139;Zamora FC; Venezuela;24.0;145.5;169.5;;
140;Gimnasia La Plata; Argentina;60.0;108.6;168.6;;
141;Zulia; Venezuela;0.0;168.4;168.4;;
142;Cusco; Perú;44.0;124.0;168.0;;
143;Magallanes; Chile;20.0;144.8;164.8;;
144;Pachuca; México;143.6;20.0;163.6;;
145;Sport Huancayo; Perú;0.0;157.4;157.4;;
146;Alianza; Colombia;0.0;153.9;153.9;;
147;River Plate (Asunción); Paraguay;0.0;153.3;153.3;;
148;12 de Octubre; Paraguay;32.0;117.0;149.0;;
149;Gualberto Villarroel SJ; Bolivia;0.0;147.0;147.0;;
150;Deportivo Petare; Venezuela;144.0;0.0;144.0;;
151;Universidad de Concepción; Chile;10.4;129.0;139.4;;
152;Guarani FC; Brasil;138.0;0.0;138.0;;
153;Tacuary; Paraguay;0.0;136.8;136.8;;
154;Atlas; México;104.0;32.5;136.5;;
155;Bella Vista; Uruguay;136.0;0.0;136.0;;
156;9 de Octubre; Ecuador;32.0;102.9;134.9;;
157;Antofagasta; Chile;0.0;134.7;134.7;;
158;Rentistas; Uruguay;0.0;132.0;132.0;;
159;Independiente Petrolero; Bolivia;0.0;128.0;128.0;;
159;Deportivo Binacional; Perú;0.0;128.0;128.0;;
161;Sport Recife; Brasil;66.4;54.9;121.3;;
162;Trinidense; Paraguay;0.0;119.7;119.7;;
163;Cúcuta Deportivo; Colombia;118.0;0.0;118.0;;
164;Ayacucho; Perú;0.0;117.9;117.9;;
165;General Caballero; Paraguay;0.0;114.9;114.9;;
166;O'Higgins; Chile;110.0;4.5;114.5;;
167;Deportivo Galicia; Venezuela;100.0;0.0;100.0;;
167;Minervén; Venezuela;100.0;0.0;100.0;;
169;Guabirá; Bolivia;20.0;78.0;98.0;;
170;Ponte Preta; Brasil;69.6;24.6;94.2;;
171;Universidad Los Andes Mérida; Venezuela;90.0;0.0;90.0;;
172;Real Tomayapo; Bolivia;0.0;89.1;89.1;;
172;Rayo Zuliano; Venezuela;0.0;89.1;89.1;;
174;Santos Laguna; México;80.0;7.5;87.5;;
175;Santiago Wanderers; Chile;76.8;7.5;84.3;;
176;Fénix; Uruguay;32.0;48.0;80.0;;
177;Juan Aurich; Perú;76.0;3.0;79.0;;
178;Coritiba; Brasil;52.0;26.7;78.7;;
179;Universidad Central; Venezuela;0.0;75.0;75.0;;
180;Progreso; Uruguay;60.0;12.5;72.5;;
181;Monarcas Morelia; México;72.0;0.0;72.0;;
182;Aragua FC; Venezuela;0.0;66.9;66.9;;
183;Defensor Lima; Perú;66.0;0.0;66.0;;
183;Atlético San Cristóbal; Venezuela;66.0;0.0;66.0;;
185;Unión Atlético Maracaibo; Venezuela;64.0;0.0;64.0;;
185;Unión Huaral; Perú;64.0;0.0;64.0;;
185;Marítimo; Venezuela;64.0;0.0;64.0;;
188;Mineros de Guayana; Venezuela;36.0;27.0;63.0;;
189;Sport Boys; Perú;52.0;10.5;62.5;;
190;León; México;36.0;25.0;61.0;;
191;Deportivo Municipal de La Paz; Bolivia;60.0;0.0;60.0;;
191;Olmedo; Ecuador;60.0;0.0;60.0;;
193;Águilas Doradas; Colombia;14.4;43.5;57.9;;
194;Criciúma; Brasil;56.0;0.0;56.0;;
194;Universidad San Martín de Porres; Perú;56.0;0.0;56.0;;
194;Ferro Carril Oeste; Argentina;56.0;0.0;56.0;;
194;Tijuana; México;56.0;0.0;56.0;;
198;Royal Pari; Bolivia;0.0;55.5;55.5;;
199;Real Potosí; Bolivia;52.0;1.5;53.5;;
200;Cerro; Uruguay;36.0;15.5;51.5;;
201;Monterrey; México;40.0;10.0;50.0;;
202;Deportes Concepción; Chile;48.0;0.0;48.0;;
202;Atlético Colegiales; Paraguay;48.0;0.0;48.0;;
202;Paysandu; Brasil;48.0;0.0;48.0;;
205;Aurora; Bolivia;8.8;37.5;46.3;;
206;Universitario de Sucre; Bolivia;40.0;5.0;45.0;;
207;San Luis; México;44.8;0.0;44.8;;
208;América de Quito; Ecuador;40.0;0.0;40.0;;
209;Sport Boys Warnes; Bolivia;0.0;36.0;36.0;;
209;Chiapas F.C.; México;36.0;0.0;36.0;;
211;Macará; Ecuador;0.0;35.0;35.0;;
212;Deportivo Portugués; Venezuela;32.0;0.0;32.0;;
212;Valencia FC; Venezuela;32.0;0.0;32.0;;
212;Valdéz; Ecuador;32.0;0.0;32.0;;
212;Necaxa; México;32.0;0.0;32.0;;
216;UTC Cajamarca; Perú;12.0;19.5;31.5;;
217;Técnico Universitario; Ecuador;16.0;13.5;29.5;;
218;ADT; Perú;0.0;28.5;28.5;;
218;Universitario de Vinto; Bolivia;0.0;28.5;28.5;;
220;Paraná; Brasil;28.0;0.0;28.0;;
221;Plaza Colonia; Uruguay;0.0;26.5;26.5;;
222;Trujillanos; Venezuela;4.0;22.0;26.0;;
223;Platense; Argentina;0.0;25.0;25.0;;
224;Alfonso Ugarte; Perú;24.0;0.0;24.0;;
224;Quilmes; Argentina;24.0;0.0;24.0;;
224;Pepeganga; Venezuela;24.0;0.0;24.0;;
224;Santo André; Brasil;24.0;0.0;24.0;;
224;Boyacá Chicó; Colombia;24.0;0.0;24.0;;
229;Deportivo Pasto; Colombia;4.8;16.5;21.3;;
230;Atlético Palmaflor; Bolivia;0.0;21.0;21.0;;
231;Unión San Felipe; Chile;20.8;0.0;20.8;;
232;Curicó Unido; Chile;0.0;20.0;20.0;;
232;Deportivo Maldonado; Uruguay;0.0;20.0;20.0;;
232;Juventude; Brasil;20.0;0.0;20.0;;
232;31 de Octubre; Bolivia;20.0;0.0;20.0;;
232;Unión Magdalena; Colombia;20.0;0.0;20.0;;
232;Defensor Arica; Perú;20.0;0.0;20.0;;
232;Chaco Petrolero; Bolivia;20.0;0.0;20.0;;
232;Paulista; Brasil;20.0;0.0;20.0;;
240;Deportivo Anzoátegui; Venezuela;12.0;4.5;16.5;;
241;Náutico; Brasil;16.0;0.0;16.0;;
241;Lara FC; Venezuela;16.0;0.0;16.0;;
241;Deportivo Canarias; Venezuela;16.0;0.0;16.0;;
241;Espoli; Ecuador;16.0;0.0;16.0;;
241;Rocha FC; Uruguay;16.0;0.0;16.0;;
241;León de Huánuco; Perú;16.0;0.0;16.0;;
247;Orense; Ecuador;0.0;15.0;15.0;;
247;2 de Mayo; Paraguay;0.0;15.0;15.0;;
249;Deportivo Municipal; Perú;0.0;12.5;12.5;;
250;Santa Cruz; Brasil;0.0;12.3;12.3;;
251;Rangers de Talca; Chile;12.0;0.0;12.0;;
251;Colegio San Agustín; Perú;12.0;0.0;12.0;;
253;Hermanos Colmenárez; Venezuela;0.0;10.5;10.5;;
254;Club Deportivo Capiatá; Paraguay;4.8;5.0;9.8;;
255;LDU Loja; Ecuador;9.6;0.0;9.6;;
256;Guayaquil City; Ecuador;0.0;9.0;9.0;;
256;Carlos A. Mannucci; Perú;0.0;9.0;9.0;;
258;Coronel Bolognesi; Perú;8.0;0.0;8.0;;
258;Club Universitario de La Paz; Bolivia;8.0;0.0;8.0;;
258;Bangu; Brasil;8.0;0.0;8.0;;
258;Cortuluá; Colombia;8.0;0.0;8.0;;
262;Llaneros de Guanare; Venezuela;0.0;7.5;7.5;;
263;Avaí; Brasil;7.2;0.0;7.2;;
263;D.C. United; Estados Unidos;7.2;0.0;7.2;;
265;Deportivo Santaní; Paraguay;0.0;6.0;6.0;;
265;Independiente FBC; Paraguay;0.0;6.0;6.0;;
267;Club General Díaz; Paraguay;0.0;4.5;4.5;;
267;Rampla Juniors; Uruguay;0.0;4.5;4.5;;
267;Sport Rosario; Perú;0.0;4.5;4.5;;
267;Jaguares de Córdoba; Colombia;0.0;4.5;4.5;;
267;Deportes Temuco; Chile;0.0;4.5;4.5;;
272;Litoral; Bolivia;4.0;0.0;4.0;;
272;Atlético Chalaco; Perú;4.0;0.0;4.0;;
272;Atlético Torino; Perú;4.0;0.0;4.0;;
272;Deportivo Filanbanco; Ecuador;4.0;0.0;4.0;;
276;Fuerza Amarilla; Ecuador;0.0;3.0;3.0;;
276;Patriotas Boyacá; Colombia;0.0;3.0;3.0;;
276;Comerciantes Unidos; Perú;0.0;3.0;3.0;;
276;Atlético Venezuela; Venezuela;0.0;3.0;3.0;;
276;Club Petrolero; Bolivia;0.0;3.0;3.0;;
276;Estudiantes de Caracas; Venezuela;0.0;3.0;3.0;;
282;Puebla; México;0.0;2.5;2.5;;
283;Brasília; Brasil;2.4;0.0;2.4;;
283;Alianza Atlético; Perú;2.4;0.0;2.4;;
283;Sport Áncash; Perú;2.4;0.0;2.4;;
286;Figueirense; Brasil;0.0;1.5;1.5;;
287;Juventud de Las Piedras; Uruguay;0.0;0.0;0.0;;
287;Unión Comercio; Perú;0.0;0.0;0.0;;
287;Joinville; Brasil;0.0;0.0;0.0;;
287;Grêmio Barueri; Brasil;0.0;0.0;0.0;;
287;Atlético Huila; Colombia;0.0;0.0;0.0;;
287;Envigado; Colombia;0.0;0.0;0.0;;
287;Portuguesa; Brasil;0.0;0.0;0.0;;
287;Everest Guayaquil; Ecuador;0.0;0.0;0.0;;
287;La Paz Fútbol Club; Bolivia;0.0;0.0;0.0;;
287;Estudiantes Tecos; México;0.0;0.0;0.0;;
287;Provincial Osorno; Chile;0.0;0.0;0.0;;
287;Central Español; Uruguay;0.0;0.0;0.0;;
287;Alajuelense; Costa Rica;0.0;0.0;0.0;;
287;Motagua; Honduras;0.0;0.0;0.0;;
287;Yaracuyanos; Venezuela;0.0;0.0;0.0;;
287;El Tanque Sisley; Uruguay;0.0;0.0;0.0;;
S/R;Independiente Rivadavia; Argentina;0.0;0.0;0.0;;
S/R;Deportivo Riestra; Argentina;0.0;0.0;0.0;;
S/R;Barracas Central; Argentina;0.0;0.0;0.0;;
S/R;Mirassol; Brasil;0.0;0.0;0.0;;
S/R;Libertad FC; Ecuador;0.0;0.0;0.0;;
S/R;Deportivo Recoleta; Paraguay;0.0;0.0;0.0;;
